,Game,index,numOpportunity,Event,Result,Start Pos,End Pos,Team,startX,startY,endX,endY,Side
39,Duke,79,7.0,Set Piece,Unsuccessful,"[41.04761904761903, 41.523809523809526]","[1.2380952380952266, 39.04761904761905]",Duke,41.04761904761903,41.523809523809526,1.2380952380952266,39.04761904761905,left
40,Duke,82,8.0,2nd Ball,Successful,"[46.19047619047618, 25.33333333333333]","[65.8095238095238, 25.14285714285714]",Duke,73.80952380952382,54.66666666666667,54.190476190476204,54.85714285714286,right
41,Duke,83,8.0,Pass,Successful,"[74.76190476190476, 26.285714285714292]","[81.23809523809521, 41.714285714285715]",Duke,45.23809523809524,53.71428571428571,38.76190476190479,38.285714285714285,right
42,Duke,85,8.0,Pass,Successful,"[84.47619047619045, 39.42857142857143]","[98.57142857142856, 38.85714285714286]",Duke,35.52380952380955,40.57142857142857,21.428571428571445,41.14285714285714,right
43,Duke,87,8.0,Shot(foot),Unsuccessful,"[104.09523809523807, 40.952380952380956]","[118.76190476190476, 40.57142857142857]",Duke,15.904761904761926,39.047619047619044,1.2380952380952408,39.42857142857143,right
44,Duke,89,9.0,Set Piece,Unsuccessful,"[119.52380952380952, 0.3809523809523796]","[114.19047619047618, 39.80952380952381]",Duke,0.4761904761904816,79.61904761904762,5.809523809523824,40.19047619047619,right
45,Duke,91,9.0,Tackle,Successful,"[115.14285714285714, 39.61904761904762]","[100.28571428571428, 50.095238095238095]",UCSD,4.857142857142861,40.38095238095238,19.714285714285722,29.904761904761905,right
46,Duke,93,9.0,Pass,Successful,"[99.33333333333331, 51.80952380952381]","[110.0, 54.666666666666664]",Duke,20.666666666666686,28.19047619047619,10.0,25.333333333333336,right
47,Duke,95,9.0,Pass,Successful,"[108.09523809523807, 58.095238095238095]","[104.47619047619045, 45.333333333333336]",Duke,11.904761904761926,21.904761904761905,15.523809523809547,34.666666666666664,right
48,Duke,97,9.0,Shot(foot),Unsuccessful,"[104.47619047619045, 46.476190476190474]","[119.33333333333331, 50.285714285714285]",Duke,15.523809523809547,33.523809523809526,0.6666666666666856,29.714285714285715,right
49,Duke,99,10.0,2nd Ball,Successful,"[23.52380952380951, 17.14285714285714]","[39.33333333333332, 19.42857142857143]",Duke,96.47619047619048,62.85714285714286,80.66666666666669,60.57142857142857,right
50,Duke,100,10.0,Pass,Successful,"[39.90476190476189, 30.66666666666667]","[59.14285714285713, 28.38095238095238]",Duke,80.0952380952381,49.33333333333333,60.85714285714287,51.61904761904762,right
51,Duke,102,10.0,Pass,Successful,"[74.38095238095238, 31.61904761904762]","[84.66666666666666, 8.76190476190476]",Duke,45.61904761904762,48.38095238095238,35.33333333333334,71.23809523809524,right
52,Duke,104,10.0,Pass,Successful,"[104.85714285714286, 15.047619047619051]","[91.52380952380952, 30.47619047619048]",Duke,15.142857142857139,64.95238095238095,28.47619047619048,49.52380952380952,right
53,Duke,106,10.0,Shot(foot),Unsuccessful,"[90.57142857142856, 38.285714285714285]","[119.9047619047619, 43.04761904761905]",Duke,29.428571428571445,41.714285714285715,0.095238095238102,36.95238095238095,right
54,Duke,108,11.0,Set Piece,Successful,"[67.7142857142857, 15.42857142857143]","[58.95238095238094, 49.142857142857146]",Duke,52.285714285714306,64.57142857142857,61.04761904761906,30.857142857142854,right
55,Duke,110,11.0,Pass,Successful,"[61.6190476190476, 35.42857142857143]","[59.14285714285713, 10.666666666666671]",Duke,58.3809523809524,44.57142857142857,60.85714285714287,69.33333333333333,right
