Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
Enter a game,0,Tackle,Successful,"[64.66666666666666, 14.857142857142861]","[-1, -1]",Quin
Enter a game,0,1st Ball,Successful,"[35.90476190476189, 4.0]","[35.33333333333332, 2.4761904761904816]",UCSD
Enter a game,0,2nd Ball,Successful,"[48.66666666666665, 3.4285714285714306]","[48.66666666666665, 3.4285714285714306]",UCSD
Enter a game,0,Pass,Successful,"[66.38095238095238, 13.333333333333343]","[79.33333333333331, 29.714285714285722]",Jonah
Enter a game,0,Pass,Successful,"[80.85714285714283, 35.42857142857143]","[94.57142857142856, 69.71428571428572]",Quin
Enter a game,0,Pass,Unsuccessful,"[94.38095238095238, 63.61904761904762]","[110.76190476190476, 43.23809523809524]",UCSD
Enter a game,0,1st Ball,Successful,"[110.76190476190476, 44.19047619047619]","[-1, -1]",Opponent
Enter a game,0,2nd Ball,Successful,"[97.04761904761904, 34.66666666666667]","[97.23809523809524, 34.66666666666667]",Opponent
Enter a game,0,1st Ball,Successful,"[64.28571428571428, 3.4285714285714306]","[64.28571428571428, 3.4285714285714306]",Opponent
Enter a game,0,2nd Ball,Successful,"[66.38095238095238, 6.857142857142861]","[66.38095238095238, 6.857142857142861]",UCSD
Enter a game,0,Pass,Successful,"[59.7142857142857, 8.57142857142857]","[85.99999999999997, 19.80952380952381]",UCSD
Enter a game,0,Pass,Successful,"[70.95238095238093, 7.61904761904762]","[44.47619047619046, 6.285714285714292]",Quin
Enter a game,0,Pass,Successful,"[39.90476190476189, 5.523809523809533]","[60.28571428571427, 19.80952380952381]",UCSD
Enter a game,0,Pass,Successful,"[66.0, 34.285714285714285]","[90.19047619047618, 34.095238095238095]",Jonah
Enter a game,0,Pass,Successful,"[67.14285714285714, 39.04761904761905]","[68.66666666666666, 65.71428571428572]",Jonah
Enter a game,0,Pass,Successful,"[61.99999999999999, 64.38095238095238]","[80.09523809523807, 75.80952380952381]",UCSD
Enter a game,0,Pass,Unsuccessful,"[88.09523809523807, 66.66666666666667]","[98.19047619047618, 79.23809523809524]",UCSD
Enter a game,0,Pass,Successful,"[36.66666666666665, 63.23809523809524]","[61.80952380952379, 50.095238095238095]",UCSD
Enter a game,0,Pass,Unsuccessful,"[63.14285714285713, 49.714285714285715]","[83.52380952380952, 31.23809523809524]",Jonah
Enter a game,0,1st Ball,Successful,"[23.52380952380951, 19.61904761904762]","[-1, -1]",Carter
Enter a game,0,Tackle,Unsuccessful,"[52.09523809523808, 16.76190476190476]","[52.09523809523808, 16.76190476190476]",Quin
Enter a game,0,1st Ball,Successful,"[22.190476190476176, 41.904761904761905]","[21.238095238095227, 41.904761904761905]",Adam
Enter a game,0,2nd Ball,Successful,"[33.42857142857141, 34.476190476190474]","[33.42857142857141, 34.476190476190474]",Quin
Enter a game,0,1st Ball,Successful,"[88.09523809523807, 28.57142857142857]","[88.09523809523807, 28.57142857142857]",Opponent
Enter a game,0,2nd Ball,Successful,"[81.04761904761904, 19.61904761904762]","[81.04761904761904, 19.61904761904762]",Opponent
Enter a game,0,Pass,Successful,"[44.47619047619046, 27.42857142857143]","[26.190476190476176, 19.42857142857143]",Jonah
Enter a game,0,Pass,Successful,"[28.09523809523808, 22.095238095238102]","[54.19047619047618, 27.42857142857143]",UCSD
Enter a game,0,Pass,Successful,"[47.14285714285713, 31.61904761904762]","[68.66666666666666, 18.47619047619048]",Jonah
Enter a game,0,Pass,Successful,"[39.33333333333332, 19.23809523809524]","[106.76190476190476, 12.952380952380949]",UCSD
Enter a game,0,Pass,Unsuccessful,"[119.14285714285714, 26.285714285714292]","[117.61904761904762, 32.19047619047619]",UCSD
Enter a game,0,Pass,Unsuccessful,"[30.571428571428562, 17.33333333333333]","[61.42857142857141, 22.47619047619048]",UCSD
Enter a game,0,Tackle,Successful,"[53.42857142857141, 35.23809523809524]","[-1, -1]",Jonah
Enter a game,0,Pass,Successful,"[67.33333333333331, 48.0]","[73.99999999999997, 35.04761904761905]",UCSD
Enter a game,0,Pass,Successful,"[71.7142857142857, 30.285714285714292]","[86.38095238095238, 41.333333333333336]",UCSD
Enter a game,0,Pass,Successful,"[90.19047619047618, 37.142857142857146]","[104.47619047619045, 48.76190476190476]",UCSD
Enter a game,0,Shot(foot),Unsuccessful,"[108.66666666666666, 49.142857142857146]","[118.0, 43.42857142857143]",UCSD
Enter a game,0,Pass,Successful,"[71.9047619047619, 58.857142857142854]","[83.7142857142857, 76.95238095238095]",UCSD
Enter a game,0,Pass,Successful,"[49.6190476190476, 28.0]","[85.99999999999997, 20.38095238095238]",UCSD
Enter a game,0,Pass,Unsuccessful,"[70.57142857142856, 5.714285714285722]","[89.61904761904759, 0.5714285714285694]",UCSD
Enter a game,0,1st Ball,Successful,"[32.47619047619046, 14.666666666666671]","[-1, -1]",UCSD
Enter a game,0,Pass,Successful,"[31.52380952380951, 16.0]","[52.66666666666665, 13.142857142857139]",Jonah
Enter a game,0,1st Ball,Successful,"[105.61904761904762, 11.42857142857143]","[-1, -1]",UCSD
Enter a game,0,2nd Ball,Successful,"[86.76190476190476, 20.57142857142857]","[86.76190476190476, 20.57142857142857]",UCSD
Enter a game,0,1st Ball,Successful,"[85.42857142857142, 6.476190476190482]","[85.42857142857142, 6.476190476190482]",UCSD
Enter a game,0,2nd Ball,Successful,"[93.42857142857142, 4.0]","[94.19047619047618, 5.142857142857153]",UCSD
Enter a game,0,Pass,Successful,"[78.76190476190476, 16.57142857142857]","[108.28571428571428, 1.7142857142857224]",UCSD
Enter a game,0,Pass,Unsuccessful,"[114.76190476190476, 2.4761904761904816]","[108.47619047619045, 51.23809523809524]",UCSD
Enter a game,0,1st Ball,Successful,"[109.23809523809524, 50.85714285714286]","[-1, -1]",Opponent
Enter a game,0,2nd Ball,Successful,"[81.99999999999997, 41.714285714285715]","[81.99999999999997, 41.714285714285715]",Opponent
